d1;d2;d3;d4;d5;d6;res
23.76972865;51.86520992;123.5556555;37.48332963;102.5329215;75.17978452;-1
5;6.08276253;96.04686356;8.485281374;100;99.15644205;-1
1;2;50.24937811;2.236067977;50.35871325;52.23983155;-1
26.57066051;117.2902383;58.69412236;92.63368718;33;72.89718787;-1
25.17935662;22.09072203;59.05929224;47.01063709;72.18032973;50.35871325;-1
76.15773106;95.67131231;86.76981042;55.10898293;22.20360331;34.92849839;-1
104.6900186;11.3137085;26.07680962;105.6030303;89.30845425;35.44009029;-1
14.31782106;18.38477631;70.71067812;16.03121954;79.40403012;89.09545443;-1
10;40.60788101;119.5198728;30.61045573;109.658561;79.51100553;-1
27.89265136;14.2126704;82.97590012;18.43908891;107.0560601;97.18538985;-1
1;2.236067977;139.3018306;3.16227766;138.6001443;141.4213562;-1
7;10.63014581;70.00714249;16.55294536;65.29931087;71.40028011;-1
89.37561189;81.21576202;101.2570985;8.94427191;15;20.61552813;-1
51.41984053;5;4;50.48762225;50.6359556;1;-1
77.31752712;5.830951895;5.385164807;82.60750571;79.906195;3.605551275;-1
2.236067977;32.55764119;88.72992731;34.71310992;89.64373932;72.56031973;-1
83.48652586;18.02775638;9.433981132;76.84399781;82.20097323;26.07680962;-1
17.02938637;2;106.2167595;18.60107524;108.0740487;104.890419;-1
26.92582404;11.3137085;114.6342008;16.15549442;120.8801059;113.8639539;-1
59.68249325;50.08991915;50.24937811;10.81665383;9.848857802;2;-1
24.04163056;27.58622845;97.5807358;3.605551275;121.6223664;125.1598977;-1
2.828427125;3.605551275;137.1787156;1;140.0071427;140.7160261;-1
121.6059209;106.0660172;125;21.58703314;3.605551275;25;-1
12.36931688;13.03840481;76.2758153;23.34523506;72.9177619;88.40814442;-1
16.97056275;38.32753579;99.90495483;50.48762225;116.8460526;84.7584804;-1
132.4575404;47.26520919;54;102.5524256;104.6756896;8.602325267;-1
66.21933252;74.43117626;50.15974482;53.71219601;19.10497317;61.18823416;-1
48.7954916;65.73431372;137.1787156;20.09975124;88.39117603;74.06078585;-1
24;25;72.86288493;1;91.80958556;92.64987858;-1
23.40939982;31.90611227;82.85529555;19.6468827;89.80534505;73.40980861;-1
1;68.62215386;139.3161871;69.3108938;140.014285;70.71067812;-1
49.64876635;4.123105626;5.099019514;50.15974482;50.08991915;1;-1
9.848857802;4.472135955;134.4693274;5.385164807;137.9311422;135.7718675;-1
5;29.06888371;49.57822102;24.69817807;50.80354318;50.48762225;-1
19.23538406;58.66856058;110.3449138;75.60423269;128.9728654;56.79788728;-1
115.277925;6;6.708203932;111.0360302;108.8944443;3;-1
2.236067977;14.4222051;56.63920903;12.52996409;58.79625838;70.71067812;-1
141.4213562;43;41;115.1043005;116.1077086;2;-1
7.810249676;28.7923601;85.5628424;35.77708764;93.33809512;60.46486583;-1
95.46203434;14.03566885;14.86606875;85.42833254;80.61017306;10.77032961;-1
41.72529209;52;98.2903861;92.11405973;140.0071427;54.23098745;-1
62.96824597;104.2353107;76.84399781;102.859127;17.02938637;97.41663102;-1
17.20465053;29.42787794;103.2279032;21.21320344;104.6518036;125.8650071;-1
18.43908891;5.656854249;105.3612832;16.1245155;90.42676595;105.5509356;-1
127.7810628;138.6217876;138.6001443;18.11077028;15.03329638;4.242640687;-1
70.71067812;55.00909016;56.22277119;102.1077862;126.7320007;60.20797289;-1
47.04253395;10.44030651;3.605551275;51.41984053;50.15974482;8;-1
125.1598977;54.45181356;30.08321791;70.71067812;100;31.6227766;-1
13.41640786;21.09502311;107.5639345;7.810249676;120.2081528;127.9882807;-1
